0:CT-Date:PR-MonthName	0:CT-Date:PR-Day	0:CT-Date:PR-Year	1:CT-Time:PR-Hours	1:CT-Time:PR-Minutes	1:CT-Time:PR-TimeMeridian	1:CT-Time:PR-TimeZone	2:CT-Time:PR-Hours	2:CT-Time:PR-Minutes	2:CT-Time:PR-TimeMeridian	3:CT-Time:PR-Hours	3:CT-Time:PR-Minutes	3:CT-Time:PR-TimeMeridian	3:CT-Time:PR-TimeZone	4:CT-Time:PR-Hours	4:CT-Time:PR-Minutes	4:CT-Time:PR-TimeMeridian	5:PR-Place	6:CT-CityState:PR-City	6:CT-CityState:PR-StateName	7:CT-CityState:PR-City	7:CT-CityState:PR-State-Abbr	8:PR-Zipcode5Digit	9:CT-TemperatureF:PR-QuantitativeValue	9:CT-TemperatureF:PR-Degree	9:CT-TemperatureF:PR-UnitFahrenheit	10:PR-Sky	11:PR-WindSpeed	12:CT-Wind:PR-Windspeed	12:CT-Wind:PR-WindDirection	13:CT-VisibilityMiles:PR-QuantitativeValue	13:CT-VisibilityMiles:PR-UnitMiles	14:CT-TemperatureF:PR-QuantitativeValue	15:PR-Humidity	16:CT-TemperatureC:PR-QuantitativeValue	16:CT-TemperatureC:PR-Degree	16:CT-TemperatureC:PR-UnitCelcius	17:CT-PressureInches:PR-QuantitativeValue	17:CT-PressureInches:PR-UnitInches	18:CT-PressureBar:PR-QuantitativeValue	18:CT-PressureBar:PR-UnitBar	19:CT-PressurePascal:PR-QuantitativeValue	19:CT-PressurePascal:PR-UnitPascal	20:PR-WindDirection
NULL	NULL	NULL	1	56	pm	NULL	1	56	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chicago/Ohare	NULL	NULL	Evanston	IL	60201	86	°	F	Partly Cloudy and Breezy	28 MPH	28	NULL	10.00	mi.	86	51%	NULL	NULL	NULL	29.9	""""	1014.2	mb	NULL	NULL	NULL
NULL	NULL	NULL	2	51	pm	NULL	2	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Washington DC, Reagan National Airport	NULL	NULL	Milton	WA	20007	88	°	F	Partly Cloudy	13 MPH	13	S	8.00	mi.	88	51%	NULL	NULL	NULL	29.9	""""	1014.2	mb	NULL	NULL	S
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kailua	HI	98354	57	°	F	Mostly Cloudy	5 MPH	5	N	10.00	mi.	57	28%	2	°	C	29.99	""""	NULL	mb	NULL	NULL	N
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Lihue Airport	NULL	NULL	Merna	NE	96734	82	°	F	Partly Cloudy	18 MPH	18	NE	10.00	mi.	82	32%	2	°	C	29.99	""""	1015.8	mb	NULL	NULL	NE
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Broken Bow Municipal Airport	NULL	NULL	Jackson	MS	68856	83	°	F	Fair and Breezy	26 MPH	26	NULL	10.00	mi.	83	26%	2	°	C	29.98	""""	1015	mb	NULL	NULL	NULL
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Jackson, Hawkins Field Airport	NULL	NULL	Rock Rapids	IA	39212	73	°	F	Light Rain Fog/Mist	NULL	NULL	NULL	6.00	mi.	73	78%	NULL	NULL	NULL	30	""""	1017.4	mb	NULL	NULL	NULL
NULL	NULL	NULL	2	35	pm	NULL	2	35	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Sheldon	NULL	NULL	Liberty	KY	51246	86	°	F	Partly Cloudy	14 MPH	14	SW	10.00	mi.	86	65%	NULL	NULL	NULL	30	""""	1016.7	mb	NULL	NULL	SW
NULL	NULL	NULL	3	16	pm	NULL	3	16	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Somerset-Pulaski County-J.T. Wilson Field Airport	NULL	NULL	Opelika	AL	42539	91	°	F	Fair	3 MPH	3	W	10.00	mi.	91	32%	2	°	C	30	""""	1015.6	mb	NULL	NULL	W
NULL	NULL	NULL	2	35	pm	NULL	2	35	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Auburn-Opelika Airport	NULL	NULL	Houston	TX	36801	79	°	F	Thunderstorm in Vicinity	6 MPH	6	E	10.00	mi.	79	38%	0	°	C	30.03	""""	1017	mb	NULL	NULL	E
NULL	NULL	NULL	12	53	pm	NULL	12	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Houston Hobby Airport	NULL	NULL	Rapid City	SD	77041	90	°	F	Mostly Cloudy	9 MPH	9	S	10.00	mi.	90	36%	4	°	C	30.06	""""	1018	mb	NULL	NULL	S
NULL	NULL	NULL	12	52	pm	NULL	12	52	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Rapid City Regional Airport	NULL	NULL	Shawnee Mission	KS	57701	81	°	F	Fair	16 MPH	16	S	10.00	mi.	81	36%	3	°	C	30.08	""""	1018.8	mb	NULL	NULL	S
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Olathe, Johnson County Executive Airport	NULL	NULL	Palmyra	NY	66216	80	°	F	Mostly Cloudy	14 MPH	14	S	7.00	mi.	80	33%	3	°	C	30.11	""""	1019.5	mb	NULL	NULL	S
NULL	NULL	NULL	2	54	pm	NULL	2	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Greater Rochester International Airport	NULL	NULL	Arlington	VA	14522	84	°	F	Mostly Cloudy	17 MPH	17	SW	7.00	mi.	84	33%	3	°	C	30.11	""""	1019.5	mb	NULL	NULL	SW
NULL	NULL	NULL	2	51	pm	NULL	2	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Washington DC, Reagan National Airport	NULL	NULL	Miami Beach	FL	22204	88	°	F	Partly Cloudy	13 MPH	13	S	8.00	mi.	88	41%	3	°	C	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Miami International Airport	NULL	NULL	Middle River	MD	33160	76	°	F	Light Rain	NULL	NULL	NULL	7.00	mi.	76	34%	3	°	C	30.08	""""	1018.5	mb	NULL	NULL	NULL
NULL	NULL	NULL	2	45	pm	NULL	2	45	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Baltimore / Martin	NULL	NULL	Nashville	TN	21220	84	°	F	A Few Clouds with Haze	12 MPH	12	SE	5.00	mi.	84	33%	3	°	C	30.11	""""	1019.5	mb	NULL	NULL	SE
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Nashville International Airport	NULL	NULL	Charlotte	NC	37201	84	°	F	Thunderstorm	5 MPH	5	E	10.00	mi.	84	30%	2	°	C	30.14	""""	1021.5	mb	NULL	NULL	E
NULL	NULL	NULL	2	51	pm	NULL	2	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Charlotte/Douglas International Airport	NULL	NULL	Alexandria	LA	28202	88	°	F	Partly Cloudy with Haze	6 MPH	6	SW	6.00	mi.	88	37%	2	°	C	30.22	""""	1024	mb	NULL	NULL	SW
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Alexandria International Airport	NULL	NULL	Benton City	WA	71302	90	°	F	Partly Cloudy	8 MPH	8	S	10.00	mi.	90	47%	NULL	NULL	NULL	30.12	""""	1021.5	mb	NULL	NULL	S
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Dayton	NV	99320	63	°	F	Fair	7 MPH	7	W	10.00	mi.	63	25%	8	°	C	30.14	""""	1020.6	mb	NULL	NULL	W
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Reno/Cannon Intl Airport	NULL	NULL	Oklahoma City	OK	89403	59	°	F	Partly Cloudy	17 MPH	17	W	10.00	mi.	59	25%	8	°	C	30.14	""""	1020.6	mb	NULL	NULL	W
NULL	NULL	NULL	1	52	pm	NULL	1	52	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Oklahoma City, Will Rogers World Airport	NULL	NULL	Evanston	WY	73116	87	°	F	Partly Cloudy	15 MPH	15	SW	10.00	mi.	87	44%	8	°	C	30.19	""""	1022.4	mb	NULL	NULL	SW
NULL	NULL	NULL	12	53	pm	NULL	12	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Southaven	MS	82930	39	°	F	Light Rain	10 MPH	10	W	10.00	mi.	39	34%	8	°	C	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Memphis International Airport	NULL	NULL	Greenwood	DE	38671	74	°	F	Overcast	10 MPH	10	E	10.00	mi.	74	37%	7	°	C	30.23	""""	1024.1	mb	NULL	NULL	E
NULL	NULL	NULL	2	54	pm	NULL	2	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Georgetown, Sussex County Airport	NULL	NULL	Plantsville	CT	19950	89	°	F	Fair	8 MPH	8	S	10.00	mi.	89	NULL	11	°	C	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Meriden Markham Municipal Airport	NULL	NULL	Tucson	AZ	06479	80	°	F	Fair	20 MPH	20	NULL	7.00	mi.	80	30%	12	°	C	30.25	""""	1024	mb	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Tucson Intl Airport	NULL	NULL	Cottonwood Falls	KS	85741	87	°	F	Fair	8 MPH	8	W	10.00	mi.	87	29%	21	°	C	30.16	""""	1021.3	mb	NULL	NULL	W
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Emporia Kansas	NULL	NULL	Chauncey	GA	66845	83	°	F	A Few Clouds	14 MPH	14	SE	10.00	mi.	83	55%	19	°	C	30.16	""""	1021.4	mb	NULL	NULL	SE
NULL	NULL	NULL	12	55	pm	NULL	12	55	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Rushmore	MN	59937	54	°	F	Mostly Cloudy	3 MPH	3	Vrbl	10.00	mi.	54	34%	18	°	C	NULL	NULL	NULL	NULL	NULL	NULL	Vrbl
NULL	NULL	NULL	3	20	pm	NULL	3	20	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Vidalia Municipal Airport	NULL	NULL	Dallas	TX	31011	90	°	F	Partly Cloudy	NULL	NULL	NULL	10.00	mi.	90	39%	7	°	C	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	2	35	pm	NULL	2	35	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Worthington Automatic Weather Observing/Reporting	NULL	NULL	Redmond	WA	56168	84	°	F	Fair	17 MPH	17	NULL	10.00	mi.	84	34%	9	°	C	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Dallas Love Field	NULL	NULL	Atlanta	GA	75204	91	°	F	Mostly Cloudy	18 MPH	18	NULL	10.00	mi.	91	42%	2	°	C	30.27	""""	1025.4	mb	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Flagstaff	AZ	98052	57	°	F	Mostly Cloudy	5 MPH	5	N	10.00	mi.	57	56%	0	°	C	30.25	""""	1025.4	mb	NULL	NULL	N
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Atlanta, Fulton County Airport-Brown Field	NULL	NULL	Fremont	NE	30302	90	°	F	A Few Clouds	NULL	NULL	NULL	10.00	mi.	90	56%	2	°	C	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Page Muni (amos)	NULL	NULL	Linden	TN	86001	79	°	F	Fair	18 MPH	18	NULL	NULL	NULL	79	66%	NULL	NULL	NULL	30.23	""""	1024.9	mb	NULL	NULL	NULL
NULL	NULL	NULL	2	30	pm	NULL	2	30	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Fremont Municipal Airport	NULL	NULL	Milton	FL	68025	88	°	F	Partly Cloudy	21 MPH	21	NULL	10.00	mi.	88	58%	NULL	NULL	NULL	30.24	""""	1025	mb	NULL	NULL	NULL
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Muscle Shoals, North West Alabama Regional Airport	NULL	NULL	Laurel	DE	37096	75	°	F	Mostly Cloudy	10 MPH	10	NW	10.00	mi.	75	61%	NULL	NULL	NULL	30.25	""""	1025.3	mb	NULL	NULL	NW
NULL	NULL	NULL	2	55	pm	NULL	2	55	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Milton, Whiting Field North	NULL	NULL	Hyde Park	VT	32570	75	°	F	Mostly Cloudy	NULL	NULL	NULL	7.00	mi.	75	61%	NULL	NULL	NULL	30.25	""""	1025.3	mb	NULL	NULL	NULL
NULL	NULL	NULL	2	54	pm	NULL	2	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Salisbury-Wicomico County Regional Airport	NULL	NULL	La Fontaine	IN	19956	85	°	F	Mostly Cloudy	9 MPH	9	SE	8.00	mi.	85	49%	NULL	NULL	NULL	30.1	""""	1020.2	mb	NULL	NULL	SE
NULL	NULL	NULL	2	54	pm	NULL	2	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Morrisville-Stowe State Airport	NULL	NULL	Rapid City	SD	05655	71	°	F	Fair with Haze	5 MPH	5	Vrbl	6.00	mi.	71	49%	NULL	NULL	NULL	30.1	""""	1020.2	mb	NULL	NULL	Vrbl
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Muncie, Delaware County-Johnson Field	NULL	NULL	Stanley	ND	46940	84	°	F	Fair	8 MPH	8	W	10.00	mi.	84	55%	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	12	52	pm	NULL	12	52	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Rapid City Regional Airport	NULL	NULL	Guthrie	OK	57702	81	°	F	Fair	16 MPH	16	S	10.00	mi.	81	86%	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	1	54	pm	NULL	1	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Minot International Airport	NULL	NULL	Bismarck	ND	58784	71	°	F	Partly Cloudy	17 MPH	17	NULL	10.00	mi.	71	86%	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Guthrie Municipal Airport	NULL	NULL	Saint Louis	MO	73044	88	°	F	Fair	22 MPH	22	NULL	NULL	NULL	88	45%	NULL	NULL	NULL	30.16	""""	1022.2	mb	NULL	NULL	NULL
NULL	NULL	NULL	1	52	pm	NULL	1	52	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Bismarck Municipal Airport	NULL	NULL	Petersburg	AK	58501	79	°	F	Fair	24 MPH	24	NULL	10.00	mi.	79	36%	NULL	NULL	NULL	30.14	""""	1021.8	mb	NULL	NULL	NULL
NULL	NULL	NULL	1	51	pm	NULL	1	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Lambert-St. Louis International Airport	NULL	NULL	Columbia	SC	63138	75	°	F	Overcast	NULL	NULL	NULL	10.00	mi.	75	36%	NULL	NULL	NULL	30.14	""""	1021.8	mb	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Juneau International Airport	NULL	NULL	Bellevue	NE	99833	61	°	F	Mostly Cloudy	5 MPH	5	Vrbl	10.00	mi.	61	36%	NULL	NULL	NULL	30.14	""""	1021.8	mb	NULL	NULL	Vrbl
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Columbia Owens Downtown Airport	NULL	NULL	Fraser	MI	29201	89	°	F	Partly Cloudy	3 MPH	3	Vrbl	10.00	mi.	89	50%	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Vrbl
NULL	NULL	NULL	1	55	pm	NULL	1	55	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Omaha / Offutt Air Force Base	NULL	NULL	Troy	MO	68005	86	°	F	A Few Clouds	17 MPH	17	S	7.00	mi.	86	37%	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Detroit City Airport	NULL	NULL	Hubert	NC	48026	84	°	F	A Few Clouds	25 MPH	25	NULL	10.00	mi.	84	36%	NULL	NULL	NULL	30.17	""""	1022.6	mb	NULL	NULL	NULL
NULL	NULL	NULL	1	54	pm	NULL	1	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Spirit Of St. Louis Airport	NULL	NULL	Honolulu	HI	63379	76	°	F	Overcast	6 MPH	6	E	10.00	mi.	76	36%	NULL	NULL	NULL	30.17	""""	1022.6	mb	NULL	NULL	E
NULL	NULL	NULL	2	56	pm	NULL	2	56	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Jacksonville, New River, Marine Corps Air Station	NULL	NULL	Great Barrington	MA	28539	86	°	F	Partly Cloudy	13 MPH	13	S	7.00	mi.	86	36%	NULL	NULL	NULL	30.17	""""	1022.6	mb	NULL	NULL	S
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Lihue Airport	NULL	NULL	Sturtevant	WI	96801	82	°	F	Partly Cloudy	18 MPH	18	NE	10.00	mi.	82	54%	26	°	C	30.17	""""	NULL	NULL	NULL	NULL	NE
NULL	NULL	NULL	2	54	pm	NULL	2	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Pittsfield Municipal Airport	NULL	NULL	Yarmouth	ME	01230	83	°	F	A Few Clouds	23 MPH	23	NULL	9.00	mi.	83	54%	26	°	C	30.17	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Racine, Batten International Airport	NULL	NULL	Florissant	MO	53177	84	°	F	A Few Clouds	26 MPH	26	NULL	10.00	mi.	84	76%	24	°	C	30.18	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	2	51	pm	NULL	2	51	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Portland International Jetport	NULL	NULL	Manchester	NH	04096	50	°	F	Fog	7 MPH	7	E	0.50	mi.	50	14%	21	°	C	30.03	""""	NULL	NULL	NULL	NULL	E
NULL	NULL	NULL	2	53	pm	NULL	2	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Manchester Airport	NULL	NULL	Los Angeles	CA	03101	62	°	F	Overcast	7 MPH	7	SE	7.00	mi.	62	14%	19	°	C	30.05	""""	NULL	NULL	NULL	NULL	SE
NULL	NULL	NULL	12	47	pm	NULL	12	47	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Los Angeles Downtown/Usc	NULL	NULL	Denham Springs	LA	90001	72	°	F	Fair	6 MPH	6	Vrbl	10.00	mi.	72	19%	21	°	C	30.04	""""	NULL	NULL	NULL	NULL	Vrbl
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Baton Rouge Metropolitan, Ryan Field	NULL	NULL	Fairfield	CT	70726	79	°	F	Thunderstorm	10 MPH	10	SE	10.00	mi.	79	14%	21	°	C	30.03	""""	NULL	NULL	NULL	NULL	SE
NULL	NULL	NULL	1	52	pm	NULL	1	52	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Milwaukee, General Mitchell International Airport	NULL	NULL	Milwaukee	WI	53228	84	°	F	Partly Cloudy	24 MPH	24	NULL	10.00	mi.	84	43%	4	°	C	30.45	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	3	45	pm	NULL	3	45	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	The Villages	NULL	NULL	Belleview	FL	34420	88	°	F	NA	Calm	Calm	NULL	10.00	mi.	88	70%	4	°	C	30.43	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	1	53	pm	NULL	1	53	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Winner, Bob Wiley Field Airport	NULL	NULL	Winner	SD	57580	86	°	F	Fair	16 MPH	16	SE	10.00	mi.	86	71%	9	°	C	30.49	""""	NULL	NULL	NULL	NULL	SE
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Las Vegas/Mccarran	NULL	NULL	Laughlin	NV	89029	81	°	F	Fair	6 MPH	6	Vrbl	10.00	mi.	81	91%	-6	°	C	NULL	NULL	NULL	NULL	NULL	NULL	Vrbl
NULL	NULL	NULL	2	58	pm	NULL	2	58	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Millinocket Municipal Airport	NULL	NULL	Dover Foxcroft	ME	04426	54	°	F	Overcast	9 MPH	9	S	10.00	mi.	54	65%	5	°	C	30.01	""""	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	1	56	pm	NULL	1	56	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chicago/Ohare	NULL	NULL	Mount Prospect	IL	60056	86	°	F	Partly Cloudy and Breezy	28 MPH	28	NULL	10.00	mi.	86	52%	4	°	C	30.1	""""	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	1	54	pm	NULL	1	54	pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Quincy Regional-Baldwin Field Airport	NULL	NULL	Quincy	IL	62301	83	°	F	Fair	13 MPH	13	SW	10.00	mi.	83	57%	2	°	C	NULL	NULL	NULL	NULL	NULL	NULL	SW
