0:PR-ModelName	1:PR-Manufacturer	2:PR-Vendor	3:PR-ModelNumber	4:PR-VendorItemNumber	5:PR-DeviceTotalPrice	6:PR-HorizontalScanSize	7:PR-VerticalScanSize	8:PR-InterfaceTypeDesc	9:PR-ColorBitDepth	10:PR-GrayscaleBitDepth	11:PR-CompatibleWithDesc	12:PR-DeviceHeight	13:PR-DeviceWidth	14:PR-DeviceDepth	15:PR-DeviceWeight	16:PR-WarrantyDesc	17:PR-HorizontalInterpolatedScanResolution	18:PR-VerticalInterpolatedScanResolution	19:PR-HorizontalOpticalScanResolution	20:PR-VerticalOpticalScanResolution
"Perfection 4180 Color Photo Flatbed Scanner, Silver"	Epson	CompUSA	B11B170011	313950	199.99	8.5	11.7	USB 1.1USB 2.0	48	16	"Windows and Macintosh Requirements:    500MB of available hard disk space  CD-ROM drive (4x or faster)  Available USB 1.1 or 2.0 connection and device drivers  USB 1.1 or 2.0 compatible operating system and applications (USB 2.0 recommended for optimum performance)  128MB RAM (256MB recommended)      Additional Windows Requirements:    IBM® compatible PC with Pentium® II equivalent or higher processor  USB 1.1: Windows 98SE, Windows 2000 Professional, Windows Me Windows XP Home Edition/XP Professional  USB 2.0: Windows 2000 Professional (with SP4) or Windows XP Home Edition/XP Professional      Additional Macintosh Requirements:    iMac® or any G3 or later with built-in USB  USB 1.1: Mac OS 9.1 to 9.2.2, OS 10.2.x and OS 10.3.x  USB 2.0: Mac OS 10.2.7 or later    "	4.6	10.87	18.03	8.6	1 Year (12 Months)	12800	12800	4800	4800
CanoScan LiDE 35 Color Flatbed Scanner	Canon	CompUSA	9871A001	315136	79.99	8.5	11.7	USB 2.0	NULL	NULL	"  Windows XP/2000/Me: USB 2.0 Hi-Speed - 566 MHz/128 MB, USB - 233 MHz/128 MB  Windows 98: USB - 233 MHz/128 MB  Mac OS X v10.1.3 to 10.3.x (Native Mode): 128 MB RAM     "	1.5	10.1	14.5	3.7	1 Year (12 Months)	9600	9600	1200	1200
Xerox DocuMate 520 Color Flatbed Scanner	Visioneer	CompUSA	XDM5205D-WU	50360725	1124.65	8.5	14	USB 2.0	24	8	  Pentium® 300 or equivalent processor  Windows® 98SE/2000/ME/XP  64MB of RAM (128MB RAM for Windows XP)  200MB available hard disk space  CD-ROM drive  USB Port    	17.5	10	13	11.2	NULL	NULL	NULL	600	1200
OneTouch 8650 USB/Parallel Flatbed Scanner	Visioneer	CompUSA	86501D-WC	50109775	195.35	8.5	11.69	ParallelUSB 1.1	36	NULL	NULL	16.7	13	16.7	10.9	1 Year (12 Months)	2400	2400	600	1200
CanoScan LiDE 80 Color Flatbed Scanner	Canon	CompUSA	7877A002	50327640	121.84	8.5	11.7	USB 2.0	48	16	"  Apple MacOS 9.x, Microsoft Windows 98/ME, Apple MacOS X 10.1 or later, Microsoft Windows 2000 / XP  128MB RAM    "	1.5	10.1	14.7	4	1 Year (12 Months)	9600	9600	2400	2400
CanoScan 3200F Color Flatbed Scanner	Canon	CompUSA	9050A002	309771	99.99	8.5	11.7	USB 2.0	48	8	"Windows:    XP: USB 2.0 Hi-Speed, 566MHz/128MB RAM; USB, 233MHz/128MB RAM  2000: USB 2.0 Hi-Speed, 566MHz/128MB RAM; USB, 233MHz/128MB RAM  Me: USB 2.0 Hi-Speed, 566MHz/128MB RAM; USB, 233MHz/128MB RAM  98: USB, 233MHz/128MB RAM     Macintosh:    PowerPC®, G3 or G4  OS 9.1 to 9.2: 128MB RAM; OS X (10.1.3 to 10.2.x): 128MB RAM (Native Mode)     "	2.7	10.2	18.7	6.1	1 Year (12 Months)	9600	9600	1200	1200
ScanJet 4070 Photosmart Scanner	HP	CompUSA	L1920A#B1H	314512	129.99	8.5	11.7	USB 2.0	48	8	"For PC systems:    USB-compatible PC with Microsoft Windows 98, 98 SE,  Me, 2000, XP (Professional and Home Editions) with Intel Pentium III 500  MHz, Celeron, or compatible processor  128 MB RAM  500 MB disk  space  Microsoft Windows Internet Explorer 5.01 SP2 or later  SVGA  monitor (800 x 600, 16-bit color)  CD-ROM drive  USB port      For Macintosh systems:    USB-compatible Macintosh computer with Mac  OS X 10.1.5, 10.2, 10.3 or higher  128 MB RAM  240 MB disk space  SVGA monitor (800 x 600, 16-bit color)  CD-ROM drive  USB port    "	3.54	11.73	18.58	7.2	3 Months (90 days)	2400	2400	2400	NULL
Perfection 4870 Photo Color Flatbed Scanner	Epson	CompUSA	B11B163011	310160	449.99	8.5	11.7	IEEE 1394 (Firewire®)USB 2.0	48	16	"Windows Requirements:    IBM compatible PC with Pentium® equivalent or higher processor.   USB: Windows 98 Second Edition (factory installed), Windows 2000 Professional (factory installed or upgraded from Windows 98 factory installed), Windows Me (factory installed) or Windows XP Home Edition/XP Professional (factory installed or upgraded from factory installed Windows 98/2000/Me).   IEEE 1394 (FireWire): Windows 2000 Professional (factory installed), Windows Me (factory installed or upgraded from Windows 2000) or Windows XP Home Edition/XP Professional (factory installed or upgraded from factory installed Windows 98/2000/Me).   128MB RAM (256MB recommended).   Additional Windows requirements:    300MB of available hard disk space (800MB recommended)  CD-ROM drive (4x or faster)  available USB 2.0 or IEEE 1394 connection and device drivers  USB 1.1/2.0 compatible operating system and applications (USB 2.0 recommend for optimum performance)  mouse or other pointing device.       Macintosh Requirements:    iMac® or any G3, G4 or G5 with built-in USB.   USB: Mac OS 8.6 to 9.x, OS X 10.2.x or later.   IEEE 1394 (FireWire): Mac OS 8.6 to 9.x (FireWire updater 2.1 or later required)  OS X 10.2.x or later. 128MB RAM (256MB recommended).   Additional Macintosh requirements:    300MB or hard disk space (800MB recommended)  CD-ROM drive (4x or faster)  available USB or IEEE 1394 connection and device drivers  mouse or other pointing device.       "	5.28	11.97	18.74	14.8	1 Year (12 Months)	12800	12800	1	4800
CanoScan 3200F Color Flatbed Scanner	Canon	CompUSA	9050A002	309771	99.99	8.5	11.7	USB 2.0	48	8	"Windows:    XP: USB 2.0 Hi-Speed, 566MHz/128MB RAM; USB, 233MHz/128MB RAM  2000: USB 2.0 Hi-Speed, 566MHz/128MB RAM; USB, 233MHz/128MB RAM  Me: USB 2.0 Hi-Speed, 566MHz/128MB RAM; USB, 233MHz/128MB RAM  98: USB, 233MHz/128MB RAM     Macintosh:    PowerPC®, G3 or G4  OS 9.1 to 9.2: 128MB RAM; OS X (10.1.3 to 10.2.x): 128MB RAM (Native Mode)     "	2.7	10.2	18.7	6.1	1 Year (12 Months)	9600	9600	1200	1200
ScanJet 4600 See-thru Flatbed Scanner	HP	CompUSA	Q3112A#A2L	306710	129.99	8.5	11.7	USB 2.0	48	8	"Microsoft Windows PC and Macintosh:    USB-compatible PC with Microsoft Windows 98, 98SE, Me, 2000 Professional, XP Professional or Home Editions, or USB-compatible Macintosh® computer with Mac OS 9.1 or higher, or OS X 10.1.5 or 10.2 or higher  CD-ROM drive  800 x 600, 16-bit color  color SVGA monitor  USB port on PC or USB-connect Macintosh only  HP memories disc creator requires CD-writer and 700 MB additional free hard disk space      For Microsoft Windows:    PC with Intel® Pentium® II 233 MHz processor, Celeron? or compatible  255 MB free hard disk space  64 MB RAM  Internet Explorer 5.01 SP2 or later      For Macintosh:    233 MHz PowerPC processor  240 MB free hard disk space  64 MB RAM (Mac OS X: 128 MB)    "	0.7	16.3	11.8	3.1	1 Year (12 Months)	2400	2400	2400	NULL
ScanJet 5530 Photosmart Flatbed Scanner	HP	CompUSA	Q3871A#A2L	50340127	227.16	8.5	11	USB 2.0	48	NULL	"USB port on PC or USB-connect Macintosh® only; CD-ROM drive; 800 x 600, 16-bit color SVGA monitor; HP Memories Disc Creator requires CD writer and 700MB additional hard disk space.  For PC: USB-compatible PC with Microsoft® Windows® 98, 2000, Me, XP Professional and Home Editions; PC with Intel® Pentium® II 233MHz processor, Celeron® or compatible; 255 MB free hard disk space, 64MB RAM, Microsoft Windows Internet Explorer 5.0 or later  For Macintosh systems: USB-compatible Macintosh computer with Mac® OS 9.1 or higher, OS X 10.1.5 or 10.2 or higher; 233MHz PowerPC processor, 240MB free hard disk space, 64MB RAM (Mac OS X: 128MB)  "	3.62	12.28	21.46	7.2	1 Year (12 Months)	2400	2400	2400	NULL
ScanJet 4670 See-Thru Vertical Scanner	HP	CompUSA	Q3122A#A2L	306709	199.99	8.5	11.7	USB 2.0	48	8	"General:    USB-compatible PC with Microsoft® Windows® 98, 98 SE, Me, 2000 Professional, XP Professional or Home Editions, or USB-compatible Macintosh® computer with Mac® OS 9.1 or higher, or OS X 10.1.5 or 10.2 or higher  CD-ROM drive  800 x 600, 16-bit color SVGA monitor  USB port on PC or USB-connect Macintosh only      For Microsoft Windows:    PC with Intel® Pentium® II 233MHz processor, Celeron® or compatible  255MB free hard disk space  64MB RAM  Internet Explorer 5.01 SP2 or later      For Macintosh:    233MHz PowerPC processor  240MB free hard disk space  64MB RAM (Mac OS X: 128MB)      Note: HP memories disc creator requires CD writer and 700MB additional free hard disk space.  "	0.75	16.26	11.73	5.66	1 Year (12 Months)	2400	2400	2400	NULL
OneTouch 9320 USB Color Flatbed Scanner	Visioneer	CompUSA	93201D-WU	306523	129.99	8.5	11.69	USB 2.0	16	NULL	  Pentium equivalent processor or higher  Requires Windows 98/2000/ME/XP  64MB of RAM (128 MB recommended for Windows XP)  2000 MB of available Hard Disk Space  CD Rom drive (for installing software on your PC)  USB Port  Color Monitor     	8.5	11.9	17	5.8	3 Months (90 days)	3200	NULL	6400	3200
ScanJet 7400c Flatbed Scanner	HP	CompUSA	C7713A#ABA	50156844	464.47	8.5	14	SCSI-1USB 1.1	48	NULL	"For Windows 98: Pentium® 90 MHz, 32 MB RAM, 4x CD-ROM drive, 90 MB disk space for HP scanning software, 390 MB for scanning software and third-party software, USB or SCSI port, SVGA monitor (800 x 600, 24-bit color); For Windows 2000, Me and NT 4.0: Pentium 166 MHz (Pentium 150 MHz for Windows Me), 64 MB RAM (32 MB RAM for Windows Me), 4x CD-ROM drive, 90 MB disk space for HP scanning software, 390 MB for scanning software and third-party software, USB or SCSI port, SVGA monitor (800 x 600, 24-bit color);  For Mac 8.5 and above: USB-connect power PC Macintosh (includes iMac), Macintosh OS 8.5 or above, CD-ROM, 64 MB RAM or more, 15 MB available disk space for scanning software, USB or SCSI port"	4.5	12.3	NULL	NULL	1 Year (12 Months)	NULL	NULL	2400	2400
