Place,LatDD,LonDD,LatDM,LonDM
Aux Sable Island,41.3667,-88.3333,41  22  00  N,088  20  00  W
Auxy,46.9333,4.4167,46  56  00  N,004  25  00  E
"Barques, Point aux",45.7833,-86.3333,45  47  00  N,086  20  00  W
Bayou aux Carpes,29.7833,-90.0833,29  47  00  N,090  05  00  W
"Barques, Pointe aux",44.0667,-82.95,44  04  00  N,082  57  00  W
Betsie River,44.5833,-85.7833,44  35  00  N,085  47  00  W
Bouxi?es-aux-Dames,48.75,6.1667,48  45  00  N,006  10  00  E
Boeuf River,33.35,-91.3333,33  21  00  N,091  20  00  W
Boeuf Island,38.6167,-91.1333,38  37  00  N,091  08  00  W
Cap-aux-Meules,47.3833,-61.8667,47  23  00  N,061  52  00  W
"Cap aux Meules, Ile du",47.3833,-61.9167,47  23  00  N,061  55  00  W
"Carri?es, Pointe aux",45.5167,-73.9,45  31  00  N,073  54  00  W
Cat Island,30.2167,-89.1,30  13  00  N,089  06  00  W
Cat Island,44.95,-75,44  57  00  N,075  00  00  W
Cedar Point,30.3,-88.1333,30  18  00  N,088  08  00  W
Channel Port aux Basques,47.5667,-59.15,47  34  00  N,059  09  00  W
"Chenes, Pointe aux",45.9167,-84.9,45  55  00  N,084  54  00  W
"Chenes, Point Aux",30.3167,-88.4667,30  19  00  N,088  28  00  W
Cheniere Creek,32.45,-92.1833,32  27  00  N,092  11  00  W
"Chiens, Rivi?e aux",45.65,-73.7667,45  39  00  N,073  46  00  W
Chilleurs-aux-Bois,48.0833,2.1333,48  05  00  N,002  08  00  E
Coldwater Creek,38.6833,-90.3667,38  41  00  N,090  22  00  W
K?n,50.9333,6.6667,50  56  00  N,006  40  00  E
Ablon-sur-Seine,48.7333,2.4333,48  44  00  N,002  26  00  E
Agr?ola Oriental,19.4,-99.0833,19  24  00  N,099  05  00  W
Acequia del Sur del Ca?n,36.3667,-105.55,36  22  00  N,105  33  00  W
Agusan del Sur,8.5,125.8333,08  30  00  N,125  50  00  E
Ailly-sur-Noye,49.75,2.3667,49  45  00  N,002  22  00  E
Aillant-sur-Tholon,47.8833,3.35,47  53  00  N,003  21  00  E
Ailly-sur-Somme,49.9167,2.2,49  55  00  N,002  12  00  E
Aire-sur-l'Adour,43.7,-0.25,43  42  00  N,000  15  00  W
Aire-sur-la-Lys,50.6333,2.4,50  38  00  N,002  24  00  E
Aisy-sur-Arman?n,47.6667,4.2167,47  40  00  N,004  13  00  E
Aisey-sur-Seine,47.75,4.5833,47  45  00  N,004  35  00  E
Ancy-sur-Moselle,49.05,6.0667,49  03  00  N,006  04  00  E
Annet-sur-Marne,48.9167,2.7167,48  55  00  N,002  43  00  E
Ardenay-sur-M?ize,48,0.4167,48  00  00  N,000  25  00  E
Arcis-sur-Aube,48.5333,4.15,48  32  00  N,004  09  00  E
Arcy-sur-Cure,47.7667,3.75,47  46  00  N,003  45  00  E
Argenteuil,48.95,2.25,48  57  00  N,002  15  00  E
Argel?-sur-Mer,42.55,3.0333,42  33  00  N,003  02  00  E
Ardes,45.4,3.1167,45  24  00  N,003  07  00  E
Argenton-sur-Creuse,46.6,1.5,46  36  00  N,001  30  00  E
Argent-sur-Sauldre,47.55,2.4333,47  33  00  N,002  26  00  E
Argenteuil-sur-Arman?n,47.7667,4.1,47  46  00  N,004  06  00  E
Arles,43.6833,4.6333,43  41  00  N,004  38  00  E
Centro Puntas,18.3667,-67.2667,18  22  00  N,067  16  00  W
Puntas del Sauce,-33.85,-57.0167,33  51  00  S,057  01  00  W
Point Arena,38.9,-123.6833,38  54  00  N,123  41  00  W
"Tres Puntas, Cabo",-47.0833,-65.9167,47  05  00  S,065  55  00  W
"Siete Puntas, R?",-23.5667,-57.3333,23  34  00  S,057  20  00  W
Ciudad Vieja,14.5167,-90.7667,14  31  00  N,090  46  00  W
Chazumba,18.2,-97.6667,18  12  00  N,097  40  00  W
Cochran Mountains,29.9833,-103.4,29  59  00  N,103  24  00  W
Don Santiago Reservoir,35.7333,-105.1333,35  44  00  N,105  08  00  W
Guatemala,14.6333,-90.3667,14  38  00  N,090  22  00  W
Guayaquil,-2.2167,-79.9,02  13  00  S,079  54  00  W
Juxtlahuaca,17.3333,-98.0167,17  20  00  N,098  01  00  W
Kemp Santiago Spring,34.95,-107.45,34  57  00  N,107  27  00  W
Morona-Santiago,-2.5,-78,02  30  00  S,078  00  00  W
MWD Santiago Lateral,33.8167,-117.7333,33  49  00  N,117  44  00  W
Nine Point Draw,29.5,-103.5167,29  30  00  N,103  31  00  W
Punta Santiago,18.1667,-65.75,18  10  00  N,065  45  00  W
Santiago,13.75,121.3667,13  45  00  N,121  22  00  E
Santiago,9.85,-84.3167,09  51  00  N,084  19  00  W
Santiago,16.75,121.5667,16  45  00  N,121  34  00  E
Santiago,19.4167,-70.9167,19  25  00  N,070  55  00  W
Santiago,23.5333,-109.7833,23  32  00  N,109  47  00  W
Santiago,25.4667,-100.15,25  28  00  N,100  09  00  W
Santiago,8.1333,-80.9833,08  08  00  N,080  59  00  W
Santiago,33.6167,-111.9667,33  37  00  N,111  58  00  W
Buford Dam,34.15,-84.0667,34  09  00  N,084  04  00  W
Argos,41.6833,-86.2333,41  41  00  N,086  14  00  W
Berwick,39.9333,-95.8333,39  56  00  N,095  50  00  W
East Sidney,42.3167,-75.2167,42  19  00  N,075  13  00  W
Great Sidney Bog,44.3833,-69.7833,44  23  00  N,069  47  00  W
East Sidney Lake,42.3167,-75.2167,42  19  00  N,075  13  00  W
Mount Sidney,38.25,-78.95,38  15  00  N,078  57  00  W
Hampden Sydney,37.2333,-78.45,37  14  00  N,078  27  00  W
Lanier Lake,35.6333,-83.9667,35  38  00  N,083  58  00  W
Sheil,39.6333,-91.5833,39  38  00  N,091  35  00  W
North Sidney,44.4667,-69.6833,44  28  00  N,069  41  00  W
Potterstown,40.6333,-74.7833,40  38  00  N,074  47  00  W
Sidney,48.65,-123.4167,48  39  00  N,123  25  00  W
Sidney,31.0667,-88.2333,31  04  00  N,088  14  00  W
Sidney,36,-91.65,36  00  00  N,091  39  00  W
Sidney,40.3833,-106.8333,40  23  00  N,106  50  00  W
Sidney,40.0167,-88.0667,40  01  00  N,088  04  00  W
Sidney,41.1,-85.7333,41  06  00  N,085  44  00  W
Sidney,40.7333,-95.6333,40  44  00  N,095  38  00  W
Sidney,37.6167,-82.35,37  37  00  N,082  21  00  W
Sidney,44.4,-69.7167,44  24  00  N,069  43  00  W
Sidney,47.7167,-104.15,47  43  00  N,104  09  00  W
Sidney,43.25,-85.1167,43  15  00  N,085  07  00  W
Sidney,40.35,-92.8167,40  21  00  N,092  49  00  W
Sidney,41.1333,-102.9667,41  08  00  N,102  58  00  W
Alcatraz,37.8167,-122.4167,37  49  00  N,122  25  00  W
"Alejandro Selkirk, Isla",-33.75,-80.75,33  45  00  S,080  45  00  W
Alexander Island,-71,-70,71  00  00  S,070  00  00  W
"Alhucemas, Pe?n de",35.2167,-3.8833,35  13  00  N,003  53  00  W
"Aves, Isla de",15.7,-63.6333,15  42  00  N,063  38  00  W
"Baltra, Isla",-0.4333,-90.2667,00  26  00  S,090  16  00  W
"Barbareta, Isla",16.4,-86.1333,16  24  00  N,086  08  00  W
Banks Island,73.25,-121.5,73  15  00  N,121  30  00  W
"Beata, Isla",17.6333,-71.4833,17  38  00  N,071  29  00  W
"Benjam?, Isla",-44.6667,-74.1333,44  40  00  S,074  08  00  W
"Belle Isle, Strait of",51.5,-56.5,51  30  00  N,056  30  00  W
"Blanquilla, Isla",11.85,-64.6167,11  51  00  N,064  37  00  W
"Boca Brava, Isla",8.2167,-82.2667,08  13  00  N,082  16  00  W
Bon? Isla,8.5667,-79.6,08  34  00  N,079  36  00  W
Brabant Island,-64.25,-62.3333,64  15  00  S,062  20  00  W
"Botija, Isla",-33.8667,-59.0333,33  52  00  S,059  02  00  W
"Caja de Muertos, Isla",17.8667,-66.5333,17  52  00  N,066  32  00  W
"Campana, Isla",-48.3333,-75.25,48  20  00  S,075  15  00  W
"Byron, Isla",-47.7833,-75.2,47  47  00  S,075  12  00  W
