time,place,temperature,tempinf,sky,windspeed,windspeedinmph,winddir,visibility,visibilityinmi,zipin
NULL,Las Vegas/Mccarran,81&deg;F,81,Fair,6 MPH,6,Vrbl,10.00 mi.,10,89029
2:58 PM,Millinocket Municipal Airport,54&deg;F,54,Overcast,9 MPH,9,S,10.00 mi.,10,4426
1:56 PM,Chicago/Ohare,86&deg;F,86,Partly Cloudy and Breezy,28 MPH,28,NULL,10.00 mi.,10,60056
1:54 PM,Quincy Regional-Baldwin Field Airport,83&deg;F,83,Fair,13 MPH,13,SW,10.00 mi.,10,62301
2:53 PM,Tampa International Airport,88&deg;F,88,Mostly Cloudy,6 MPH,6,Vrbl,10.00 mi.,10,33602
1:56 PM,Chicago/Ohare,86&deg;F,86,Partly Cloudy and Breezy,28 MPH,28,NULL,10.00 mi.,10,60477
1:52 PM,"Milwaukee, General Mitchell International Airport",84&deg;F,84,Partly Cloudy,24 MPH,24,NULL,10.00 mi.,10,53202
NULL,Safford Municipal,89&deg;F,89,Fair,10 MPH,10,SW,10.00 mi.,10,88039
1:55 PM,Duluth International Airport,68&deg;F,68,Partly Cloudy,25 MPH,25,NULL,10.00 mi.,10,55803
2:53 PM,Detroit City Airport,84&deg;F,84,A Few Clouds,25 MPH,25,NULL,10.00 mi.,10,48317
2:51 PM,Concord Municipal Airport,63&deg;F,63,Overcast,7 MPH,7,Vrbl,10.00 mi.,10,3278
2:46 PM,Mena Intermountain Municipal Airport,88&deg;F,88,Fair,3 MPH,3,S,10.00 mi.,10,71953
NULL,NULL,57&deg;F,57,Mostly Cloudy,5 MPH,5,N,10.00 mi.,10,98466
2:53 PM,"Somerville, Somerset Airport",89&deg;F,89,A Few Clouds,8 MPH,8,S,8.00 mi.,8,8844
12:53 PM,NULL,59&deg;F,59,Fair,18 MPH,18,NULL,10.00 mi.,10,83622
1:51 PM,Victoria Regional Airport,89&deg;F,89,A Few Clouds,15 MPH,15,S,10.00 mi.,10,77904
1:53 PM,Emporia Kansas,83&deg;F,83,A Few Clouds,14 MPH,14,SE,10.00 mi.,10,66801
1:54 PM,Jackson International Airport,74&deg;F,74,Light Rain,5 MPH,5,S,10.00 mi.,10,39110
1:56 PM,"Sioux Falls, Foss Field",83&deg;F,83,Fair,15 MPH,15,S,10.00 mi.,10,51242
2:35 PM,Waupaca Municipal Airport,79&deg;F,79,Fair,23 MPH,23,NULL,10.00 mi.,10,54981
1:55 PM,Indianapolis International Airport,85&deg;F,85,Partly Cloudy,8 MPH,8,SW,10.00 mi.,10,46201
2:53 PM,"Louisville, Bowman Field Airport",90&deg;F,90,Partly Cloudy,7 MPH,7,Vrbl,10.00 mi.,10,40207
12:53 PM,NULL,59&deg;F,59,Fair,18 MPH,18,NULL,10.00 mi.,10,83702
2:53 PM,Detroit City Airport,84&deg;F,84,A Few Clouds,25 MPH,25,NULL,10.00 mi.,10,48202
12:53 PM,Broomfield/Jeffco,81&deg;F,81,A Few Clouds,17 MPH,17,NULL,35.00 mi.,35,80501
2:53 PM,"Greer, Greenville-Spartanburg Airport",90&deg;F,90,Fair,6 MPH,6,Vrbl,9.00 mi.,9,29372
NULL,Russellville Municipal Airport,85&deg;F,85,Fair,3 MPH,3,Vrbl,10.00 mi.,10,72834
2:51 PM,Lambert-St. Louis International Airport,81&deg;F,81,Mostly Cloudy,8 MPH,8,S,10.00 mi.,10,63101
2:54 PM,"Boston, Logan International Airport",61&deg;F,61,A Few Clouds,9 MPH,9,E,10.00 mi.,10,2138
2:52 PM,Toledo Express Airport,85&deg;F,85,Partly Cloudy,18 MPH,18,W,10.00 mi.,10,43402
3:51 PM,Port Columbus International Airport,88&deg;F,88,Partly Cloudy,16 MPH,16,W,10.00 mi.,10,43085
3:51 PM,"Windsor Locks, Bradley International Airport",83&deg;F,83,Mostly Cloudy,20 MPH,20,S,8.00 mi.,8,6098
3:51 PM,"Washington DC, Reagan National Airport",87&deg;F,87,Mostly Cloudy with Haze,14 MPH,14,S,5.00 mi.,5,20814
12:55 PM,Cannon AFB/Clovis,84&deg;F,84,Partly Cloudy,15 MPH,15,SW,7.00 mi.,7,88101
1:35 PM,NULL,52&deg;F,52,Fair,22 MPH,22,NULL,10.00 mi.,10,84057
1:53 PM,Memphis International Airport,74&deg;F,74,Overcast,10 MPH,10,E,10.00 mi.,10,38117
3:51 PM,Teterboro Airport,89&deg;F,89,Fair,20 MPH,20,NULL,10.00 mi.,10,7626
2:54 PM,"Boston, Logan International Airport",61&deg;F,61,A Few Clouds,9 MPH,9,E,10.00 mi.,10,2101
NULL,Moriarty,46&deg;F,46,Clear,Calm,NULL,NULL,25.00 mi.,25,87015
1:53 PM,"Indianapolis, Eagle Creek Airpark",84&deg;F,84,Fair,7 MPH,7,W,10.00 mi.,10,46038
3:51 PM,Charlotte/Douglas International Airport,86&deg;F,86,Mostly Cloudy,6 MPH,6,S,7.00 mi.,7,28277
NULL,NULL,54&deg;F,54,Partly Cloudy,7 MPH,7,NW,10.00 mi.,10,99504
3:53 PM,Greenville Downtown Airport,89&deg;F,89,Partly Cloudy,8 MPH,8,SE,8.00 mi.,8,29690
3:53 PM,Morgantown Municipal-Hart Field,68&deg;F,68,Mostly Cloudy,9 MPH,9,S,10.00 mi.,10,26508
NULL,NULL,55&deg;F,55,Mostly Cloudy,12 MPH,12,S,10.00 mi.,10,97338
3:53 PM,"Trenton, Mercer County Airport",90&deg;F,90,Fair,8 MPH,8,S,8.00 mi.,8,18940
3:51 PM,"New York, La Guardia Airport",84&deg;F,84,Partly Cloudy,17 MPH,17,S,9.00 mi.,9,10001
3:55 PM,"Bad Axe, Huron County Memorial Airport",79&deg;F,79,Partly Cloudy,26 MPH,26,NULL,10.00 mi.,10,48445
3:54 PM,"Lexington, Blue Grass Airport",89&deg;F,89,A Few Clouds,9 MPH,9,W,10.00 mi.,10,40391
2:55 PM,Indianapolis International Airport,87&deg;F,87,Partly Cloudy,14 MPH,14,W,10.00 mi.,10,46260
2:53 PM,Jonesboro Municipal Airport,91&deg;F,91,Partly Cloudy,14 MPH,14,SE,10.00 mi.,10,72401
1:53 PM,Montrose Co. Arpt,79&deg;F,79,Fair and Breezy,29 MPH,29,NULL,10.00 mi.,10,81401
NULL,Lihue Airport,84&deg;F,84,Partly Cloudy,18 MPH,18,NE,10.00 mi.,10,96744
1:53 PM,Denver/Centennial,82&deg;F,82,Partly Cloudy,16 MPH,16,S,10.00 mi.,10,80433
3:55 PM,Laconia Municipal Automatic Weather Observing,57&deg;F,57,Overcast,9 MPH,9,NE,9.00 mi.,9,3246
2:53 PM,"Baton Rouge Metropolitan, Ryan Field",81&deg;F,81,Partly Cloudy,12 MPH,12,E,10.00 mi.,10,70785
2:35 PM,Ankeny Regional Airport,86&deg;F,86,Fair,20 MPH,20,NULL,10.00 mi.,10,50021
2:56 PM,Cox Dayton International Airport,85&deg;F,85,Partly Cloudy,17 MPH,17,NULL,10.00 mi.,10,45429
3:51 PM,Teterboro Airport,89&deg;F,89,Fair,20 MPH,20,NULL,10.00 mi.,10,7020
3:51 PM,"Huntington, Tri-State Airport",92&deg;F,92,A Few Clouds,8 MPH,8,SW,10.00 mi.,10,25625
3:54 PM,Morrisville-Stowe State Airport,75&deg;F,75,Fair,8 MPH,8,SW,9.00 mi.,9,5672
2:52 PM,"Milwaukee, General Mitchell International Airport",85&deg;F,85,A Few Clouds,28 MPH,28,NULL,10.00 mi.,10,53215
2:55 PM,Menominee Automatic Weather Observing / Reporting,77&deg;F,77,A Few Clouds,24 MPH,24,NULL,7.00 mi.,7,54143
3:51 PM,Portland International Jetport,50&deg;F,50,Fog/Mist,5 MPH,5,E,0.75 mi.,NULL,4021
2:55 PM,Chicopee Falls / Westover Air Force Base,82&deg;F,82,A Few Clouds with Haze,17 MPH,17,NULL,6.00 mi.,6,1101
3:54 PM,Greater Buffalo International Airport,78&deg;F,78,Partly Cloudy,29 MPH,29,NULL,10.00 mi.,10,14204
3:54 PM,"Baltimore, Inner Harbor",90&deg;F,90,NA,NA,NULL,NULL,NULL,NULL,21230
3:54 PM,Pottstown Limerick Airport,86&deg;F,86,Fair,6 MPH,6,S,8.00 mi.,8,19341
3:51 PM,Newark International Airport,88&deg;F,88,Mostly Cloudy,17 MPH,17,NULL,10.00 mi.,10,7102
